Brand,ASIN,Title,Category,Monthly Revenue,BSR,Sellers,Price
Stanley,B093DWQZZV,Stanley Quencher 40oz Tumbler,Kitchen & Dining,85000,1250,6,45.00
Hydro Flask,B07BB3BQHD,Hydro Flask 32oz Wide Mouth,Sports & Outdoors,42000,3800,4,44.95
Owala,B09G6ZLWB9,Owala FreeSip 24oz Water Bottle,Sports & Outdoors,31000,5200,3,24.99
Yeti,B073WFJ9BC,YETI Rambler 20oz Tumbler,Sports & Outdoors,125000,890,12,28.00
Simple Modern,B07G5W3GYN,Simple Modern 32oz Summit,Kitchen & Dining,18000,9400,5,22.99
Contigo,B074VFX6DK,Contigo Autoseal 24oz Travel Mug,Kitchen & Dining,9000,22000,7,18.50
Nalgene,B000HAPBH8,Nalgene Wide Mouth 32oz,Sports & Outdoors,15000,11500,9,13.99
CamelBak,B07QFPSVJY,CamelBak Chute Mag 32oz,Sports & Outdoors,7000,35000,4,19.99
Takeya,B07X8FTB6D,Takeya Actives 24oz,Kitchen & Dining,5000,48000,3,24.99
Thermos,B007K8JR9I,Thermos Stainless King 40oz,Kitchen & Dining,3000,72000,8,39.99
